address,total_sent,total_received,num_transactions_sent,num_transactions_received,pagerank,component_id
fa6f174d91bbe061f7ed3a826e4ce7872e7a880a43fbbf797ae44ee998363e73,50.0,0.0,1,0,1.4362098120097543e-05,0
aaaa2ef07c4aa47a15375ba6a920a0e93b82a4307d5d45ccaf2672d1e60d29e4,45000.0,45015.12,1,901,0.011033564937213686,0
6307dfe6627d1a2fda8c6ca609f4d9f2bc2bfda1e5e87474671e55dcdc893309,50.0,0.0,1,0,1.4362098120097543e-05,0
ee3ef9b759c5367a9154a368f93939187df4de1c6e561a3f626641d68945a1d7,50.0,0.0,1,0,1.4362098120097543e-05,0
6330626fdd84f5604551014e90d7c6fcce33c1304d61c8cbd86a3c283dcecc42,50.0,0.0,1,0,1.4362098120097543e-05,0
6ef4d3b0955c13d2386a26afef8599b2ab694fd9775f0eff1fe3ff3bc32c0ee9,50.0,0.0,1,0,1.4362098120097543e-05,1
cec658ace2eb9fe79473a0161ea726a69924fdc17d59c39d7c58f44c36d034c1,2200.0,2200.0,1,44,0.0005524807717273239,1
58ce9edff9eab240a14d5b02f18e51b846527fb0a34ba970cc8c9440abc527b1,50.0,0.0,1,0,1.4362098120097543e-05,1
e4b588a07e533c78b8bb16d373124d3f687fe98847dd9eb81b3a8d1b3f316c97,50.0,0.0,1,0,1.4362098120097543e-05,0
b7ebd169818b321601b816c3b2dd2f58674bf3ed9c3bdbc78ad0ed8a24a56e67,50.0,0.0,1,0,1.4362098120097543e-05,1
726a6b6f059cdc625bfb0fe1555e7c83bfa53f7d1aa53a22d5c91e6377aacf6a,50.0,0.0,1,0,1.4362098120097543e-05,1
4b77fdfc4daaa4c6a0994b3d478975e788ec7cada281dd7bea035a9769bec784,50.0,0.0,1,0,1.4362098120097543e-05,0
31a1b9907e56b0dc812ad996bea8d6030b2922c5f2f798a544080cad860bfadd,50.0,0.0,1,0,1.4362098120097543e-05,1
fd72587921c8c13dcaf410a0bd500a55f1b49cd7d0000a40d34f09b1f6515c99,50.0,0.0,1,0,1.4362098120097543e-05,1
1ce37767e426ae3544525c4c62ab3dfc952367ead0a9f9cf98570dfc0f38c86d,50.0,0.0,1,0,1.4362098120097543e-05,0
df36a2c8dd7a6abcd963b317034a19dab7da711b031c446c8d96ecd73a1f8fc0,25000.0,25000.0,1,500,0.006129347025474989,0
5e230ebfa8ab0496f19dd02ce14f8eb6d339e497c696bb4cb7f85c0241fc02b5,50.0,0.0,1,0,1.4362098120097543e-05,1
90581d183646b1de85ad1d47a92765fec6d11a08a5b9a433f1709c890f34c2fb,50.0,0.0,1,0,1.4362098120097543e-05,0
903ad736c850767375b87409999184dde61ab41081ea7ba8b28d1746be9dbf4d,50.0,0.0,1,0,1.4362098120097543e-05,1
8c7221cb13609c9a63ca85a584093049e6063ff9bea68be95a46821758bddcb9,50.0,0.0,1,0,1.4362098120097543e-05,0
ceca85428ddfe20444d5016e1e63e41b5579084f07e208849b179802b96f9c5f,50.0,0.0,1,0,1.4362098120097543e-05,0
d3cf97a9a0cf9428dd488ce3915a4e1426e7794a59ae5cb82e041127ddc22f0d,50.0,0.0,1,0,1.4362098120097543e-05,0
c0bcbb06da5dd0cd9ad25861af4a7074b43f3dc80439a6ae9c10e9da44e5076d,50.0,0.0,1,0,1.4362098120097543e-05,1
28e0001c5d711edffc4ec84015ca34fe1a1b74346cb41d5cb9b567c612faf575,50.0,0.0,1,0,1.4362098120097543e-05,0
30723e9ff920e4f56f95a59cacf4da1cc71980edfd3e36b96b50adef5b3b9727,50.0,0.0,1,0,1.4362098120097543e-05,0
2a9b6e4e05b6da26dffb26f887036d36fde12db94090bedac674a4ece200ff15,50.0,0.0,1,0,1.4362098120097543e-05,0
5cf1079ac6883b88a1d8541436e9a5f270fafb5262720ddc70e18a042e443097,50.0,0.0,1,0,1.4362098120097543e-05,0
0c886c29d95f095cc5b8ff9d1eabe8acab2a9fdf0118a12984d2a506a1c5c330,50.0,0.0,1,0,1.4362098120097543e-05,1
87975d875bd5273f7e21f20982438feaf343e234886d6526b15d3bf3a0d26a90,50.0,0.0,1,0,1.4362098120097543e-05,1
3e2b92f709e2543252b5e04ef08f57d8adf48a1e3c9dc14cd95b844cf4149d63,50.0,0.0,1,0,1.4362098120097543e-05,1
15f74420d690ea9e199581c305f8a7156a0554c940773581c2cee5d1bbd9c648,50.0,0.0,1,0,1.4362098120097543e-05,1
94e495d21a9b14b71c6cdb06d2e3ab2cd1bd2059b0a4324a5c4763afd1293dcf,50.0,0.0,1,0,1.4362098120097543e-05,1
2883524d8f79dfb00749f87ed4b76f8b344c6fe0f854f93f65358c847ca8f6c6,50.0,0.0,1,0,1.4362098120097543e-05,0
12745c30d634df6e42cf5aa2485bd53e16891bb945ebdbb6af7b34e0b1aa5c92,50.0,0.0,1,0,1.4362098120097543e-05,1
5e793052825591b24c0f52206cab57c84c7e9efe9535f6a88ee94fb9adfbdce9,50.0,0.0,1,0,1.4362098120097543e-05,0
f214327064aeaa2d6809d70c45debf61c1804bd627bfaffa8ae0589194a683e0,50.0,0.0,1,0,1.4362098120097543e-05,0
a69fc5275b062c30105da152a41365a100f7dd3bd195afb980bc6be3761574d0,50.0,0.0,1,0,1.4362098120097543e-05,0
